Time,CPU_usec_used,Memory_Bytes,Energy_uJ,inference_time_sec
1751287317,669992474,962306048,15633603959,0.799805641174316
1751287318,670292621,962990080,15640692076,0.812158823013306
1751287319,670604356,963936256,15648100870,0.788380146026611
1751287320,670913740,964382720,15655290916,0.791255235671997
1751287321,671222522,965734400,15661966252,0.794141292572022
1751287322,671522657,966578176,15668291432,0.712997436523438
1751287323,671822997,967122944,15674637057,0.790294647216797
1751287324,672122191,967790592,15680827044,0.712754011154175
1751287325,672422513,969228288,15687070253,0.715749025344849
1751287326,672727061,969814016,15693414231,0.708461284637451
1751287327,673040166,970539008,15699626190,0.718311548233032
1751287328,673349792,971493376,15706175124,0.790043115615845
1751287329,673652664,972574720,15712447569,0.704799175262451
1751287330,673953098,973262848,15719995096,0.708164930343628
1751287331,674252287,973963264,15727255758,0.729103565216064
1751287332,674552502,975400960,15733509343,0.722928524017334
1751287333,674852549,975998976,15739795277,0.781917572021484
1751287334,675162999,976949248,15746104709,0.715338230133057
1751287335,675473298,977387520,15752387835,0.7928466796875
1751287336,675782030,978325504,15758382326,0.702743053436279
1751287337,676082182,979517440,15764035388,0.778762817382813
1751287338,676382348,980090880,15771234283,0.698928594589233
1751287339,676682332,980791296,15778811656,0.721696138381958
1751287340,676982630,982228992,15785980950,0.715289115905762
1751287341,677283028,982822912,15792318946,0.793678760528564
1751287342,677592439,983527424,15798985921,0.790993213653564
1751287343,677902352,984449024,15805476444,0.712892532348633
1751287344,678210908,985817088,15811360828,0.787396192550659
1751287345,678512590,986222592,15817553134,0.71272611618042
1751287346,678812475,986927104,15823879717,0.881256341934204
1751287347,679112469,987611136,15830304689,0.715171575546265
1751287348,679412622,988082176,15836906051,0.875995397567749
1751287349,679712693,988774400,15843269255,0.804456233978272
1751287350,680023996,989716480,15850405833,0.793550968170166
1751287351,680334380,990420992,15857005426,0.71747088432312
1751287352,680642454,991506432,15863512795,0.806158781051636
1751287353,680942203,992190464,15869680686,0.799690246582031
1751287354,681242448,992874496,15875897834,0.71039342880249
1751287355,681542381,993632256,15882160574,0.700346231460571
1751287356,681842288,994902016,15889232211,0.786645650863647
1751287357,682143151,995606528,15895517901,0.704480409622192
1751287358,682453421,996335616,15902397522,0.792037963867188
1751287359,682761440,997257216,15908604232,0.809605121612549
1751287360,683070603,998350848,15914824370,0.798597812652588
1751287361,683372491,999034880,15921431714,0.7925705909729
1751287363,683672551,999739392,15927696590,0.784506559371948
1751287364,683972562,1000464384,15934054667,0.803634405136108
1751287365,684272611,1001754624,15940085536,0.791153192520142
1751287366,684580035,1002438656,15945795482,0.722190380096436
1751287367,684890980,1003130880,15952385370,0.80807375907898
1751287368,685200346,1004060672,15958953651,0.81132698059082
1751287369,685502722,1005158400,15965368857,0.788714170455933
1751287370,685802740,1005842432,15971575140,0.790485858917236
1751287371,686103086,1006526464,15977799245,0.708144187927246
1751287372,686402396,1007480832,15984960238,0.706684350967407
1751287373,686711885,1008803840,15991394242,0.881661415100098
1751287374,687021023,1009340416,15998399473,0.789307355880737
1751287375,687328976,1009938432,16004788007,0.718751192092896
1751287376,687632999,1011269632,16011227809,0.798923254013062
1751287377,687933147,1011957760,16017813974,0.794999122619629
1751287378,688232950,1012678656,16023927484,0.706773281097412
1751287379,688532172,1013342208,16030008584,0.717438936233521
1751287380,688833068,1014009856,16035979028,0.789759159088135
1751287381,689145939,1015369728,16042930609,0.708233833312988
1751287382,689454842,1016061952,16049487721,0.706809759140015
1751287383,689762271,1016725504,16056017490,0.722054719924927
1751287384,690062432,1018224640,16062541765,0.797982931137085
1751287385,690362586,1019006976,16068795777,0.787974834442139
1751287386,690662827,1019441152,16074811997,0.804401159286499
1751287387,690963112,1020104704,16080844880,0.798154592514038
1751287388,691269141,1021542400,16087217849,0.796077728271484
1751287389,691581199,1022169088,16093683897,0.791754722595215
1751287390,691890114,1022832640,16100155560,0.792375802993774
1751287391,692192529,1023537152,16106296048,0.715381860733032
1751287392,692492624,1024970752,16112583141,0.787765264511108
1751287393,692792337,1025683456,16118948847,0.802156209945679
1751287394,693092338,1026236416,16125768105,0.803048133850098
1751287395,693392794,1027162112,16132928365,0.790030241012573
1751287396,693707168,1028440064,16140168336,0.709179639816284
1751287397,694015115,1029087232,16148120709,0.784209728240967
1751287398,694322160,1029722112,16154756495,0.716964960098267
1751287399,694622487,1031225344,16160846933,0.716659069061279
1751287400,694922734,1031626752,16167498955,0.884755849838257
1751287401,695222441,1032609792,16174954014,0.795114517211914
1751287402,695522634,1034158080,16181800005,0.81083869934082
1751287403,695827880,1034600448,16188210999,0.797724008560181
1751287404,696139107,1035264000,16194520248,0.789595365524292
1751287405,696448045,1035292672,16200840361,0.71537709236145
1751287406,696752450,1036582912,16206783949,0.810508966445923
1751287407,697053123,1036517376,16212973265,0.706905841827393
1751287408,697352161,1037791232,16219241010,0.786593675613403
1751287409,697652223,1039130624,16225696682,0.705385684967041
1751287410,697952372,1041690624,16232199961,0.708161592483521
1751287411,698263363,1043021824,16238532281,0.795986175537109
1751287412,698573235,1043042304,16245159889,0.803631067276001
1751287413,698882318,1044594688,16251652060,0.802429676055908
1751287414,699183118,1046290432,16258099553,0.715908288955689
1751287415,699483099,1046933504,16265244798,0.7945716381073
1751287416,699782329,1046953984,16272607572,0.800035238265991
1751287417,700082767,1049681920,16283301576,0.79707145690918
1751287418,700382274,1051066368,16290615339,0.792269468307495
1751287419,700688111,1051529216,16297709864,0.887439250946045
1751287420,700999027,1052745728,16303841929,0.803449630737305
1751287421,701312909,1054142464,16310300042,0.793661594390869
1751287422,701612381,1055850496,16316418801,0.792338848114014
1751287423,701912613,1057013760,16322587974,0.704451560974121
1751287424,702212595,1058418688,16328358223,0.708528518676758
1751287425,702516002,1058521088,16334281975,0.788003444671631
1751287426,702824901,1060061184,16340280495,0.794141054153442
1751287427,703134316,1061392384,16346315697,0.79914402961731
1751287428,703442350,1064034304,16352817877,0.798150777816772
1751287429,703743095,1065070592,16358994070,0.796715497970581
1751287430,704042796,1065017344,16364959997,0.804100275039673
1751287431,704342876,1066401792,16370947653,0.709298610687256
1751287432,704643050,1066651648,16376776739,0.788739442825317
1751287433,704942595,1066688512,16382505301,0.79102635383606
1751287434,705257321,1069625344,16388551062,0.711816787719727
1751287435,705566704,1070919680,16395001363,0.801735639572144
1751287436,705872765,1070952448,16401415165,0.793768167495728
1751287438,706172456,1073233920,16407706531,0.798168420791626
1751287439,706473041,1073197056,16413896334,0.803316354751587
1751287440,706772917,1073676288,16421277663,0.873478889465332
1751287441,707072668,1073504256,16428544551,1.40579319000244
1751287442,707391583,1073532928,16435141824,0.708469390869141
1751287443,707700282,1073704960,16441581993,0.784166097640991
1751287444,708002542,1073524736,16447412240,0.714569091796875
1751287445,708302679,1073561600,16453494500,0.795876979827881
1751287446,708602617,1073020928,16459501747,0.803096055984497
1751287447,708902515,1072762880,16465187524,0.886520385742188
1751287448,709213434,1073418240,16472705083,0.790600538253784
1751287449,709522501,1073741824,16480000779,0.718955516815186
