time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721398270.26343,1000m,838m,1000Mi,581Mi,large
1721398273.30627,1000m,838m,1000Mi,581Mi,large
1721398276.3664,1000m,838m,1000Mi,581Mi,large
1721398279.40982,1000m,838m,1000Mi,581Mi,large
1721398282.57985,1000m,838m,1000Mi,581Mi,large
1721398285.62141,1000m,887m,1000Mi,574Mi,large
1721398288.66496,1000m,887m,1000Mi,574Mi,large
1721398291.70724,1000m,887m,1000Mi,574Mi,large
1721398294.84587,1000m,887m,1000Mi,574Mi,large
1721398297.92321,1000m,887m,1000Mi,574Mi,large
1721398300.96773,1000m,887m,1000Mi,574Mi,large
1721398304.0049,1000m,887m,1000Mi,574Mi,large
1721398307.05242,1000m,887m,1000Mi,574Mi,large
1721398310.09877,1000m,887m,1000Mi,574Mi,large
1721398313.13735,1000m,887m,1000Mi,574Mi,large
1721398316.17973,1000m,884m,1000Mi,542Mi,large
1721398319.3165,1000m,884m,1000Mi,542Mi,large
1721398322.35249,1000m,884m,1000Mi,542Mi,large
1721398325.39643,1000m,884m,1000Mi,542Mi,large
1721398328.62009,1000m,884m,1000Mi,542Mi,large
1721398331.6658,1000m,884m,1000Mi,542Mi,large
1721398334.70482,1000m,884m,1000Mi,542Mi,large
1721398337.7474,1000m,884m,1000Mi,542Mi,large
1721398340.78227,1000m,884m,1000Mi,542Mi,large
1721398343.91551,1000m,884m,1000Mi,542Mi,large
1721398346.95789,1000m,902m,1000Mi,586Mi,large
1721398350.00465,1000m,902m,1000Mi,586Mi,large
1721398353.04088,1000m,902m,1000Mi,586Mi,large
1721398356.08537,1000m,902m,1000Mi,586Mi,large
1721398359.12616,1000m,902m,1000Mi,586Mi,large
1721398362.16692,1000m,902m,1000Mi,586Mi,large
1721398365.20683,1000m,902m,1000Mi,586Mi,large
1721398368.25532,1000m,902m,1000Mi,586Mi,large
1721398371.29528,1000m,902m,1000Mi,586Mi,large
1721398374.335,1000m,902m,1000Mi,586Mi,large
1721398377.37544,1000m,919m,1000Mi,585Mi,large
1721398380.4232,1000m,919m,1000Mi,585Mi,large
1721398383.46743,1000m,919m,1000Mi,585Mi,large
1721398386.50961,1000m,919m,1000Mi,585Mi,large
1721398389.55516,1000m,919m,1000Mi,585Mi,large
1721398392.5944,1000m,919m,1000Mi,585Mi,large
1721398395.63326,1000m,919m,1000Mi,585Mi,large
1721398398.66897,1000m,919m,1000Mi,585Mi,large
1721398401.70327,1000m,919m,1000Mi,585Mi,large
