time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721423403.5928,500m,453m,1000Mi,346Mi,small,44.9,814.106702804565
1721423406.63404,500m,453m,1000Mi,346Mi,small,44.9,955.617427825928
1721423410.79112,500m,453m,1000Mi,346Mi,small,44.9,935.247421264648
1721423413.83815,500m,453m,1000Mi,346Mi,small,44.9,862.204551696777
1721423416.87889,500m,441m,1000Mi,347Mi,small,44.9,912.135124206543
1721423419.91868,500m,441m,1000Mi,347Mi,small,44.9,932.322263717651
1721423422.96277,500m,441m,1000Mi,347Mi,small,44.9,882.359981536865
1721423426.08037,500m,441m,1000Mi,347Mi,small,44.9,913.122415542603
1721423429.11873,500m,441m,1000Mi,347Mi,small,44.9,890.267610549927
1721423432.16053,500m,441m,1000Mi,347Mi,small,44.9,878.3278465271
1721423435.2051,500m,441m,1000Mi,347Mi,small,44.9,855.199337005615
1721423438.24627,500m,441m,1000Mi,347Mi,small,44.9,928.370714187622
1721423441.41142,500m,441m,1000Mi,347Mi,small,44.9,871.641874313355
1721423444.44805,500m,441m,1000Mi,346Mi,small,44.9,863.312959671021
1721423447.48413,500m,441m,1000Mi,346Mi,small,44.9,858.911514282227
1721423450.52942,500m,441m,1000Mi,346Mi,small,44.9,839.432716369629
1721423453.56891,500m,441m,1000Mi,346Mi,small,44.9,865.634679794312
1721423456.62512,500m,441m,1000Mi,346Mi,small,44.9,869.162797927856
1721423459.66193,500m,441m,1000Mi,346Mi,small,44.9,908.103227615356
1721423463.02114,500m,441m,1000Mi,346Mi,small,44.9,892.489671707153
1721423466.06622,500m,441m,1000Mi,346Mi,small,44.9,893.699407577515
1721423469.12335,500m,441m,1000Mi,346Mi,small,44.9,883.697271347046
1721423472.1729,500m,441m,1000Mi,346Mi,small,44.9,917.094707489014
1721423475.21597,500m,446m,1000Mi,356Mi,small,44.9,860.404014587402
1721423478.25496,500m,446m,1000Mi,356Mi,small,44.9,860.530138015747
1721423481.54801,500m,446m,1000Mi,356Mi,small,44.9,849.555015563965
1721423484.59807,500m,446m,1000Mi,356Mi,small,44.9,806.578397750855
1721423487.75565,500m,446m,1000Mi,356Mi,small,44.9,901.302337646484
1721423490.79731,500m,446m,1000Mi,356Mi,small,44.9,920.912504196167
1721423493.83894,500m,446m,1000Mi,356Mi,small,44.9,898.409366607666
1721423496.87485,500m,446m,1000Mi,356Mi,small,44.9,869.771480560303
1721423499.91485,500m,446m,1000Mi,356Mi,small,44.9,866.737842559814
1721423502.95945,500m,446m,1000Mi,356Mi,small,44.9,893.676042556763
1721423506.00086,500m,417m,1000Mi,347Mi,small,44.9,933.129549026489
1721423509.04502,500m,417m,1000Mi,347Mi,small,44.9,1016.16406440735
1721423512.08645,500m,417m,1000Mi,347Mi,small,44.9,973.479270935059
