time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721411478.54286,500m,283m,1000Mi,281Mi,nano,37.3,444.488048553467
1721411481.59248,500m,283m,1000Mi,281Mi,nano,37.3,353.826999664307
1721411484.63795,500m,283m,1000Mi,281Mi,nano,37.3,356.970310211182
1721411487.68692,500m,283m,1000Mi,281Mi,nano,37.3,355.622291564941
1721411490.73253,500m,283m,1000Mi,281Mi,nano,37.3,377.669334411621
1721411493.78729,500m,283m,1000Mi,281Mi,nano,37.3,348.393201828003
1721411496.82209,500m,283m,1000Mi,281Mi,nano,37.3,368.952751159668
1721411499.87095,500m,283m,1000Mi,281Mi,nano,37.3,396.094560623169
1721411502.90699,500m,283m,1000Mi,281Mi,nano,37.3,355.01503944397
1721411505.96158,500m,123m,1000Mi,291Mi,nano,37.3,362.55931854248
1721411509.00641,500m,123m,1000Mi,291Mi,nano,37.3,306.183338165283
1721411512.05386,500m,123m,1000Mi,291Mi,nano,37.3,328.062295913696
1721411515.11353,500m,123m,1000Mi,291Mi,nano,37.3,356.40549659729
1721411518.16668,500m,123m,1000Mi,291Mi,nano,37.3,394.120693206787
1721411521.22062,500m,123m,1000Mi,291Mi,nano,37.3,399.655818939209
1721411524.26221,500m,123m,1000Mi,291Mi,nano,37.3,393.405675888062
1721411527.33047,500m,123m,1000Mi,291Mi,nano,37.3,401.727199554443
1721411530.38752,500m,123m,1000Mi,291Mi,nano,37.3,352.977275848389
1721411533.433,500m,123m,1000Mi,291Mi,nano,37.3,351.086139678955
1721411536.48001,500m,70m,1000Mi,281Mi,nano,37.3,355.066776275635
1721411539.51617,500m,70m,1000Mi,281Mi,nano,37.3,333.122730255127
1721411542.57076,500m,70m,1000Mi,281Mi,nano,37.3,415.386915206909
1721411545.62514,500m,70m,1000Mi,281Mi,nano,37.3,357.264518737793
1721411548.66867,500m,70m,1000Mi,281Mi,nano,37.3,374.753475189209
1721411551.71145,500m,70m,1000Mi,281Mi,nano,37.3,399.479389190674
1721411554.76331,500m,70m,1000Mi,281Mi,nano,37.3,358.83903503418
1721411557.80602,500m,70m,1000Mi,281Mi,nano,37.3,355.398416519165
1721411560.8499,500m,70m,1000Mi,281Mi,nano,37.3,309.82780456543
1721411563.89665,500m,70m,1000Mi,281Mi,nano,37.3,315.488815307617
1721411566.95851,500m,161m,1000Mi,281Mi,nano,37.3,348.748683929443
1721411570.01162,500m,161m,1000Mi,281Mi,nano,37.3,309.972763061523
1721411573.06002,500m,161m,1000Mi,281Mi,nano,37.3,379.216909408569
1721411576.15525,500m,161m,1000Mi,281Mi,nano,37.3,347.229242324829
1721411579.25189,500m,161m,1000Mi,281Mi,nano,37.3,355.648279190063
1721411582.3796,500m,161m,1000Mi,281Mi,nano,37.3,311.434507369995
1721411585.42993,500m,161m,1000Mi,281Mi,nano,37.3,344.554901123047
1721411588.53703,500m,161m,1000Mi,281Mi,nano,37.3,365.674257278442
1721411591.6,500m,161m,1000Mi,281Mi,nano,37.3,354.722738265991
1721411594.64833,500m,229m,1000Mi,294Mi,nano,37.3,382.133722305298
1721411597.689,500m,229m,1000Mi,294Mi,nano,37.3,384.871959686279
1721411600.73833,500m,229m,1000Mi,294Mi,nano,37.3,318.110227584839
1721411603.78225,500m,229m,1000Mi,294Mi,nano,37.3,405.701637268066
1721411606.85896,500m,229m,1000Mi,294Mi,nano,37.3,354.004859924316
1721411609.90108,500m,229m,1000Mi,294Mi,nano,37.3,386.871576309204
1721411612.94803,500m,229m,1000Mi,294Mi,nano,37.3,335.012674331665
1721411615.99526,500m,229m,1000Mi,294Mi,nano,37.3,324.808120727539
1721411619.04285,500m,229m,1000Mi,294Mi,nano,37.3,352.769136428833
1721411622.12192,500m,229m,1000Mi,294Mi,nano,37.3,377.744913101196
1721411625.20323,500m,371m,1000Mi,295Mi,nano,37.3,384.991884231567
1721411628.26118,500m,371m,1000Mi,295Mi,nano,37.3,376.953601837158
1721411631.30693,500m,371m,1000Mi,295Mi,nano,37.3,357.099056243896
