time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721330013.4909286,1500m,806m,1000Mi,414Mi,medium
1721330016.5600188,1500m,806m,1000Mi,414Mi,medium
1721330019.6252987,1500m,806m,1000Mi,414Mi,medium
1721330022.6740115,1500m,865m,1000Mi,430Mi,medium
1721330025.7438083,1500m,865m,1000Mi,430Mi,medium
1721330028.877875,1500m,865m,1000Mi,430Mi,medium
1721330031.945534,1500m,865m,1000Mi,430Mi,medium
1721330035.0776007,1500m,865m,1000Mi,430Mi,medium
1721330038.1391127,1500m,865m,1000Mi,430Mi,medium
1721330041.2157671,1500m,865m,1000Mi,430Mi,medium
1721330044.3218508,1500m,865m,1000Mi,430Mi,medium
1721330047.390046,1500m,865m,1000Mi,430Mi,medium
1721330050.4545298,1500m,865m,1000Mi,430Mi,medium
1721330053.5273235,1500m,865m,1000Mi,430Mi,medium
1721330056.588544,1500m,865m,1000Mi,430Mi,medium
1721330059.7087224,1500m,865m,1000Mi,430Mi,medium
1721330062.7674356,1500m,865m,1000Mi,430Mi,medium
1721330065.9127796,1500m,865m,1000Mi,430Mi,medium
1721330068.9777896,1500m,865m,1000Mi,430Mi,medium
1721330072.0470448,1500m,865m,1000Mi,430Mi,medium
1721330075.1120908,1500m,865m,1000Mi,430Mi,medium
1721330078.7245538,1500m,865m,1000Mi,430Mi,medium
1721330081.764296,1500m,849m,1000Mi,431Mi,medium
1721330084.803741,1500m,849m,1000Mi,431Mi,medium
1721330088.0094683,1500m,849m,1000Mi,431Mi,medium
1721330091.0486448,1500m,849m,1000Mi,431Mi,medium
1721330094.094362,1500m,849m,1000Mi,431Mi,medium
1721330097.135686,1500m,849m,1000Mi,431Mi,medium
1721330100.1773093,1500m,849m,1000Mi,431Mi,medium
1721330103.5739703,1500m,849m,1000Mi,431Mi,medium
1721330106.617727,1500m,849m,1000Mi,431Mi,medium
1721330109.6615858,1500m,849m,1000Mi,431Mi,medium
1721330112.6969826,1500m,868m,1000Mi,430Mi,medium
1721330115.8027017,1500m,868m,1000Mi,430Mi,medium
1721330118.8400521,1500m,868m,1000Mi,430Mi,medium
1721330121.884597,1500m,868m,1000Mi,430Mi,medium
1721330125.0181873,1500m,868m,1000Mi,430Mi,medium
1721330128.062679,1500m,868m,1000Mi,430Mi,medium
1721330131.1053677,1500m,868m,1000Mi,430Mi,medium
1721330134.2422543,1500m,868m,1000Mi,430Mi,medium
1721330137.2878032,1500m,868m,1000Mi,430Mi,medium
1721330140.3382735,1500m,868m,1000Mi,430Mi,medium
1721330143.3770604,1500m,874m,1000Mi,431Mi,medium
1721330146.4150066,1500m,874m,1000Mi,431Mi,medium
1721330149.4748058,1500m,874m,1000Mi,431Mi,medium
1721330152.6040885,1500m,874m,1000Mi,431Mi,medium
1721330155.6466608,1500m,874m,1000Mi,431Mi,medium
1721330158.6961145,1500m,874m,1000Mi,431Mi,medium
1721330161.7455354,1500m,874m,1000Mi,431Mi,medium
1721330164.8890913,1500m,874m,1000Mi,431Mi,medium
1721330167.9243987,1500m,874m,1000Mi,431Mi,medium
1721330170.964941,1500m,853m,1000Mi,430Mi,medium
1721330174.010776,1500m,853m,1000Mi,430Mi,medium
1721330177.0837553,1500m,853m,1000Mi,430Mi,medium
1721330180.1227522,1500m,853m,1000Mi,430Mi,medium
1721330183.1722052,1500m,853m,1000Mi,430Mi,medium
1721330186.2139406,1500m,853m,1000Mi,430Mi,medium
1721330189.2896354,1500m,853m,1000Mi,430Mi,medium
1721330192.3312814,1500m,853m,1000Mi,430Mi,medium
1721330195.3787682,1500m,853m,1000Mi,430Mi,medium
1721330198.4235618,1500m,853m,1000Mi,430Mi,medium
1721330201.5166905,1500m,862m,1000Mi,430Mi,medium
1721330204.5619771,1500m,862m,1000Mi,430Mi,medium
1721330207.6059353,1500m,862m,1000Mi,430Mi,medium
1721330210.6476207,1500m,862m,1000Mi,430Mi,medium
1721330213.685187,1500m,862m,1000Mi,430Mi,medium
1721330216.725132,1500m,862m,1000Mi,430Mi,medium
1721330219.7747526,1500m,862m,1000Mi,430Mi,medium
1721330222.8177862,1500m,862m,1000Mi,430Mi,medium
1721330225.9035606,1500m,862m,1000Mi,430Mi,medium
1721330228.946761,1500m,862m,1000Mi,430Mi,medium
1721330231.9864957,1500m,854m,1000Mi,430Mi,medium
1721330235.0259736,1500m,854m,1000Mi,430Mi,medium
1721330238.0962658,1500m,854m,1000Mi,430Mi,medium
1721330241.1363459,1500m,854m,1000Mi,430Mi,medium
1721330244.1763103,1500m,854m,1000Mi,430Mi,medium
1721330247.2217498,1500m,854m,1000Mi,430Mi,medium
1721330250.637531,1500m,854m,1000Mi,430Mi,medium
1721330253.7058117,1500m,854m,1000Mi,430Mi,medium
1721330256.75084,1500m,854m,1000Mi,430Mi,medium
1721330259.8981514,1500m,854m,1000Mi,430Mi,medium
1721330263.0031228,1500m,855m,1000Mi,427Mi,medium
1721330266.041123,1500m,855m,1000Mi,427Mi,medium
1721330269.085504,1500m,855m,1000Mi,427Mi,medium
1721330272.1264882,1500m,855m,1000Mi,427Mi,medium
1721330275.1815774,1500m,855m,1000Mi,427Mi,medium
1721330278.2538214,1500m,855m,1000Mi,427Mi,medium
1721330281.2994514,1500m,855m,1000Mi,427Mi,medium
1721330284.3535225,1500m,855m,1000Mi,427Mi,medium
1721330287.5187888,1500m,855m,1000Mi,427Mi,medium
1721330290.5523057,1500m,855m,1000Mi,427Mi,medium
1721330293.5916977,1500m,857m,1000Mi,430Mi,medium
1721330296.636381,1500m,857m,1000Mi,430Mi,medium
1721330299.7241733,1500m,857m,1000Mi,430Mi,medium
1721330302.7673028,1500m,857m,1000Mi,430Mi,medium
1721330305.8123374,1500m,857m,1000Mi,430Mi,medium
1721330308.854099,1500m,857m,1000Mi,430Mi,medium
1721330311.9039118,1500m,857m,1000Mi,430Mi,medium
1721330314.9383073,1500m,857m,1000Mi,430Mi,medium
1721330317.9822633,1500m,857m,1000Mi,430Mi,medium
1721330321.0321329,1500m,852m,1000Mi,430Mi,medium
1721330324.2190318,1500m,852m,1000Mi,430Mi,medium
1721330327.4060636,1500m,852m,1000Mi,430Mi,medium
1721330330.444033,1500m,852m,1000Mi,430Mi,medium
1721330333.4846835,1500m,852m,1000Mi,430Mi,medium
1721330336.5369058,1500m,852m,1000Mi,430Mi,medium
1721330339.5814435,1500m,852m,1000Mi,430Mi,medium
1721330342.6213984,1500m,852m,1000Mi,430Mi,medium
1721330345.672064,1500m,852m,1000Mi,430Mi,medium
1721330348.7330084,1500m,852m,1000Mi,430Mi,medium
1721330351.777177,1500m,802m,1000Mi,430Mi,medium
1721330354.8170507,1500m,802m,1000Mi,430Mi,medium
1721330357.9039614,1500m,802m,1000Mi,430Mi,medium
1721330360.957279,1500m,802m,1000Mi,430Mi,medium
1721330363.9959154,1500m,802m,1000Mi,430Mi,medium
1721330367.1343243,1500m,802m,1000Mi,430Mi,medium
1721330370.1881318,1500m,802m,1000Mi,430Mi,medium
1721330373.2286336,1500m,802m,1000Mi,430Mi,medium
1721330376.2697468,1500m,802m,1000Mi,430Mi,medium
1721330379.317439,1500m,802m,1000Mi,430Mi,medium
1721330382.3537195,1500m,783m,1000Mi,430Mi,medium
1721330385.401733,1500m,783m,1000Mi,430Mi,medium
1721330388.4492877,1500m,783m,1000Mi,430Mi,medium
1721330391.4907384,1500m,783m,1000Mi,430Mi,medium
1721330394.5281951,1500m,783m,1000Mi,430Mi,medium
1721330397.5746915,1500m,783m,1000Mi,430Mi,medium
1721330400.611104,1500m,783m,1000Mi,430Mi,medium
1721330403.7040067,1500m,783m,1000Mi,430Mi,medium
1721330406.747441,1500m,783m,1000Mi,430Mi,medium
1721330409.9149342,1500m,783m,1000Mi,430Mi,medium
1721330413.2896502,1500m,716m,1000Mi,430Mi,medium
1721330416.3402717,1500m,716m,1000Mi,430Mi,medium
1721330419.4551651,1500m,716m,1000Mi,430Mi,medium
1721330422.5019577,1500m,716m,1000Mi,430Mi,medium
1721330425.5499706,1500m,716m,1000Mi,430Mi,medium
1721330428.5881457,1500m,716m,1000Mi,430Mi,medium
1721330431.6335826,1500m,716m,1000Mi,430Mi,medium
1721330434.6855085,1500m,716m,1000Mi,430Mi,medium
1721330437.7249265,1500m,716m,1000Mi,430Mi,medium
1721330440.8078089,1500m,801m,1000Mi,431Mi,medium
1721330443.8487024,1500m,801m,1000Mi,431Mi,medium
1721330446.9554527,1500m,801m,1000Mi,431Mi,medium
1721330449.9930637,1500m,801m,1000Mi,431Mi,medium
1721330453.0322344,1500m,801m,1000Mi,431Mi,medium
1721330456.0756521,1500m,801m,1000Mi,431Mi,medium
1721330459.1266215,1500m,801m,1000Mi,431Mi,medium
1721330462.173724,1500m,801m,1000Mi,431Mi,medium
1721330465.2159183,1500m,801m,1000Mi,431Mi,medium
1721330468.2614846,1500m,801m,1000Mi,431Mi,medium
1721330471.3062522,1500m,793m,1000Mi,410Mi,medium
1721330474.353265,1500m,793m,1000Mi,410Mi,medium
1721330477.3941727,1500m,793m,1000Mi,410Mi,medium
1721330480.4431264,1500m,793m,1000Mi,410Mi,medium
1721330483.4949915,1500m,793m,1000Mi,410Mi,medium
1721330486.5694442,1500m,793m,1000Mi,410Mi,medium
1721330489.6124716,1500m,793m,1000Mi,410Mi,medium
1721330492.6594095,1500m,793m,1000Mi,410Mi,medium
1721330495.7082589,1500m,793m,1000Mi,410Mi,medium
1721330498.754454,1500m,793m,1000Mi,410Mi,medium
1721330501.7964232,1500m,807m,1000Mi,430Mi,medium
1721330504.8435686,1500m,807m,1000Mi,430Mi,medium
1721330508.00387,1500m,807m,1000Mi,430Mi,medium
1721330511.0450923,1500m,807m,1000Mi,430Mi,medium
1721330514.090643,1500m,807m,1000Mi,430Mi,medium
1721330517.1390998,1500m,807m,1000Mi,430Mi,medium
1721330520.1893528,1500m,807m,1000Mi,430Mi,medium
1721330523.2418122,1500m,807m,1000Mi,430Mi,medium
1721330526.2892647,1500m,807m,1000Mi,430Mi,medium
1721330529.3310413,1500m,807m,1000Mi,430Mi,medium
1721330532.3814151,1500m,596m,1000Mi,404Mi,medium
1721330535.4226549,1500m,596m,1000Mi,404Mi,medium
1721330538.4658494,1500m,596m,1000Mi,404Mi,medium
1721330541.5018137,1500m,596m,1000Mi,404Mi,medium
1721330544.548526,1500m,596m,1000Mi,404Mi,medium
1721330547.5907588,1500m,596m,1000Mi,404Mi,medium
1721330550.6296124,1500m,596m,1000Mi,404Mi,medium
1721330553.6711476,1500m,596m,1000Mi,404Mi,medium
1721330556.7971385,1500m,596m,1000Mi,404Mi,medium
1721330559.910188,1500m,596m,1000Mi,404Mi,medium
1721330562.954774,1500m,825m,1000Mi,439Mi,medium
1721330565.995459,1500m,825m,1000Mi,439Mi,medium
1721330569.0963306,1500m,825m,1000Mi,439Mi,medium
1721330572.1312068,1500m,825m,1000Mi,439Mi,medium
1721330575.2101233,1500m,825m,1000Mi,439Mi,medium
1721330578.254471,1500m,825m,1000Mi,439Mi,medium
1721330581.3281238,1500m,825m,1000Mi,439Mi,medium
1721330584.370809,1500m,825m,1000Mi,439Mi,medium
1721330587.415994,1500m,825m,1000Mi,439Mi,medium
1721330590.4607582,1500m,825m,1000Mi,439Mi,medium
1721330593.4991925,1500m,671m,1000Mi,403Mi,medium
1721330596.5374818,1500m,671m,1000Mi,403Mi,medium
1721330599.6525104,1500m,671m,1000Mi,403Mi,medium
1721330602.6906016,1500m,671m,1000Mi,403Mi,medium
1721330605.7373586,1500m,671m,1000Mi,403Mi,medium
1721330608.777643,1500m,671m,1000Mi,403Mi,medium
1721330611.8156278,1500m,671m,1000Mi,403Mi,medium
1721330614.856742,1500m,671m,1000Mi,403Mi,medium
1721330617.901013,1500m,671m,1000Mi,403Mi,medium
1721330620.9361453,1500m,554m,1000Mi,430Mi,medium
1721330623.972816,1500m,554m,1000Mi,430Mi,medium
1721330627.0206738,1500m,554m,1000Mi,430Mi,medium
