time,cpu_request,memory_request,model,model_acc,processing_delay(s)
0.0,1731409398.3905418,500.0,500.0,0.0,37.3,0.31335878372192383
1.0,1731409399.3209083,1000.0,500.0,1.0,44.9,0.4012768268585205
2.0,1731409399.9380536,1500.0,500.0,0.0,37.3,0.14047837257385254
3.0,1731409400.8525295,500.0,500.0,0.0,37.3,0.385575532913208
4.0,1731409401.7537377,1000.0,500.0,1.0,44.9,0.5225248336791992
5.0,1731409403.1574452,1500.0,500.0,1.0,44.9,0.42580080032348633
0.0,1731409403.860179,500.0,500.0,0.0,37.3,0.2921144962310791
1.0,1731409404.548935,1000.0,500.0,1.0,44.9,0.3949911594390869
2.0,1731409405.059576,1500.0,500.0,0.0,37.3,0.1774146556854248
3.0,1731409405.6443386,500.0,500.0,0.0,37.3,0.34744691848754883
4.0,1731409406.3837416,1000.0,500.0,1.0,44.9,0.4869668483734131
5.0,1731409407.4160078,1500.0,500.0,1.0,44.9,0.41872596740722656
0.0,1731409408.5146139,500.0,500.0,0.0,37.3,0.377849817276001
1.0,1731409409.7690544,1000.0,500.0,1.0,44.9,0.39882421493530273
2.0,1731409410.462229,1500.0,500.0,0.0,37.3,0.17756986618041992
3.0,1731409411.5910282,500.0,500.0,0.0,37.3,0.29849696159362793
4.0,1731409412.5342073,1000.0,500.0,1.0,44.9,0.48538947105407715
5.0,1731409413.4253805,1500.0,500.0,1.0,44.9,0.4140937328338623
0.0,1731409414.0537772,500.0,500.0,0.0,37.3,0.33139872550964355
1.0,1731409414.6627283,1000.0,500.0,1.0,44.9,0.39910888671875
2.0,1731409415.2070816,1500.0,500.0,0.0,37.3,0.16961884498596191
3.0,1731409415.899632,500.0,500.0,0.0,37.3,0.33463025093078613
4.0,1731409416.79659,1000.0,500.0,1.0,44.9,0.4853708744049072
5.0,1731409417.531358,1500.0,500.0,1.0,44.9,0.4129514694213867
0.0,1731409418.4555485,500.0,500.0,0.0,37.3,0.3200216293334961
1.0,1731409419.2581892,1000.0,500.0,1.0,44.9,0.4008045196533203
2.0,1731409419.8747306,1500.0,500.0,0.0,37.3,0.14156603813171387
3.0,1731409420.7003005,500.0,500.0,0.0,37.3,0.3481612205505371
4.0,1731409421.7249854,1000.0,500.0,1.0,44.9,0.4989774227142334
5.0,1731409422.7996545,1500.0,500.0,1.0,44.9,0.43103766441345215
0.0,1731409423.6839252,500.0,500.0,0.0,37.3,0.3358192443847656
1.0,1731409424.6151798,1000.0,500.0,1.0,44.9,0.3910527229309082
2.0,1731409425.0305538,1500.0,500.0,0.0,37.3,0.17016291618347168
3.0,1731409426.0160418,500.0,500.0,0.0,37.3,0.3244187831878662
4.0,1731409427.0598872,1000.0,500.0,1.0,44.9,0.4856576919555664
5.0,1731409427.8659303,1500.0,500.0,1.0,44.9,0.4240708351135254
0.0,1731409428.50251,500.0,500.0,0.0,37.3,0.355452299118042
1.0,1731409429.2195928,1000.0,500.0,1.0,44.9,0.4002046585083008
2.0,1731409429.8340273,1500.0,500.0,0.0,37.3,0.15454697608947754
3.0,1731409430.4564548,500.0,500.0,0.0,37.3,0.3785064220428467
4.0,1731409431.6770813,1000.0,500.0,1.0,44.9,0.5138058662414551
5.0,1731409432.4984183,1500.0,500.0,1.0,44.9,0.4137108325958252
0.0,1731409433.4134977,500.0,500.0,0.0,37.3,0.3530271053314209
1.0,1731409434.4419482,1000.0,500.0,1.0,44.9,0.40248680114746094
2.0,1731409435.0301344,1500.0,500.0,0.0,37.3,0.16623473167419434
3.0,1731409436.119634,500.0,500.0,0.0,37.3,0.39127588272094727
4.0,1731409437.005419,1000.0,500.0,1.0,44.9,0.48772764205932617
5.0,1731409437.7583485,1500.0,500.0,1.0,44.9,0.41934776306152344
0.0,1731409438.4074929,500.0,500.0,0.0,37.3,0.2995915412902832
1.0,1731409439.0344024,1000.0,500.0,1.0,44.9,0.4075138568878174
2.0,1731409439.4612257,1500.0,500.0,0.0,37.3,0.1809680461883545
3.0,1731409440.1676319,500.0,500.0,0.0,37.3,0.3500351905822754
4.0,1731409440.869878,1000.0,500.0,1.0,44.9,0.4931802749633789
5.0,1731409441.6937332,1500.0,500.0,1.0,44.9,0.4324629306793213
0.0,1731410027.2739873,500.0,500.0,0.0,37.3,0.3540832996368408
1.0,1731410028.3005712,1000.0,500.0,1.0,44.9,0.41530919075012207
2.0,1731410028.9065802,1500.0,500.0,0.0,37.3,0.16108202934265137
3.0,1731410030.0164723,500.0,500.0,0.0,37.3,0.4084970951080322
4.0,1731410033.7937305,1000.0,500.0,1.0,44.9,3.0943830013275146
5.0,1731410035.0478733,1500.0,500.0,1.0,44.9,0.4738278388977051
0.0,1731410035.6186223,500.0,500.0,0.0,37.3,0.3011610507965088
1.0,1731410036.4662075,1000.0,500.0,1.0,44.9,0.3973524570465088
2.0,1731410036.8559866,1500.0,500.0,0.0,37.3,0.14724469184875488
3.0,1731410037.4437041,500.0,500.0,0.0,37.3,0.3013279438018799
4.0,1731410038.2723343,1000.0,500.0,1.0,44.9,0.4285464286804199
5.0,1731410038.9161656,1500.0,500.0,1.0,44.9,0.41796398162841797
0.0,1731410039.8348029,500.0,500.0,0.0,37.3,0.340146541595459
1.0,1731410040.8408859,1000.0,500.0,1.0,44.9,0.3970201015472412
2.0,1731410041.4474778,1500.0,500.0,0.0,37.3,0.1652514934539795
3.0,1731410042.5851438,500.0,500.0,0.0,37.3,0.31088924407958984
4.0,1731410043.6699023,1000.0,500.0,1.0,44.9,0.45027828216552734
5.0,1731410044.4407527,1500.0,500.0,1.0,44.9,0.41498851776123047
0.0,1731410045.0715487,500.0,500.0,0.0,37.3,0.3229079246520996
1.0,1731410046.0813973,1000.0,500.0,1.0,44.9,0.39486145973205566
2.0,1731410046.4739738,1500.0,500.0,0.0,37.3,0.16618752479553223
3.0,1731410047.537797,500.0,500.0,0.0,37.3,0.3583953380584717
4.0,1731410048.5452354,1000.0,500.0,1.0,44.9,0.43843793869018555
5.0,1731410049.3310513,1500.0,500.0,1.0,44.9,0.4149315357208252
0.0,1731410050.35668,500.0,500.0,0.0,37.3,0.3306567668914795
1.0,1731410051.211574,1000.0,500.0,1.0,44.9,0.40071654319763184
2.0,1731410051.775493,1500.0,500.0,0.0,37.3,0.16768980026245117
3.0,1731410052.7416208,500.0,500.0,0.0,37.3,0.34720420837402344
4.0,1731410053.6445096,1000.0,500.0,1.0,44.9,0.4335470199584961
5.0,1731410054.5679176,1500.0,500.0,1.0,44.9,0.41463351249694824
0.0,1731410055.2961457,500.0,500.0,0.0,37.3,0.28435826301574707
1.0,1731410055.9042387,1000.0,500.0,1.0,44.9,0.400130033493042
2.0,1731410056.3148568,1500.0,500.0,0.0,37.3,0.1534290313720703
3.0,1731410057.0476716,500.0,500.0,0.0,37.3,0.3408164978027344
4.0,1731410057.7536187,1000.0,500.0,1.0,44.9,0.42382001876831055
5.0,1731410058.565041,1500.0,500.0,1.0,44.9,0.41437196731567383
0.0,1731410059.7626085,500.0,500.0,0.0,37.3,0.3564753532409668
1.0,1731410060.7881246,1000.0,500.0,1.0,44.9,0.405322790145874
2.0,1731410061.3194187,1500.0,500.0,0.0,37.3,0.15398526191711426
3.0,1731410062.3464015,500.0,500.0,0.0,37.3,0.4006009101867676
4.0,1731410063.157632,1000.0,500.0,1.0,44.9,0.43296241760253906
5.0,1731410064.196453,1500.0,500.0,1.0,44.9,0.4122774600982666
0.0,1731410064.8220813,500.0,500.0,0.0,37.3,0.3520660400390625
1.0,1731410065.4264863,1000.0,500.0,1.0,44.9,0.39668750762939453
2.0,1731410065.8175576,1500.0,500.0,0.0,37.3,0.1715104579925537
3.0,1731410066.5672603,500.0,500.0,0.0,37.3,0.3347933292388916
4.0,1731410067.4552093,1000.0,500.0,1.0,44.9,0.434307336807251
5.0,1731410068.0946538,1500.0,500.0,1.0,44.9,0.4196889400482178
0.0,1731410069.248904,500.0,500.0,0.0,37.3,0.3471646308898926
1.0,1731410070.0895238,1000.0,500.0,1.0,44.9,0.3980891704559326
2.0,1731410070.7685888,1500.0,500.0,0.0,37.3,0.17013239860534668
3.0,1731410071.873245,500.0,500.0,0.0,37.3,0.2953801155090332
4.0,1731410072.741084,1000.0,500.0,1.0,44.9,0.4296989440917969
5.0,1731410073.5295966,1500.0,500.0,1.0,44.9,0.4280531406402588
0.0,1731410074.5222974,500.0,500.0,0.0,37.3,0.3298072814941406
1.0,1731410075.4640083,1000.0,500.0,1.0,44.9,0.42368221282958984
2.0,1731410076.0048609,1500.0,500.0,0.0,37.3,0.1742866039276123
3.0,1731410076.9868364,500.0,500.0,0.0,37.3,0.4023585319519043
4.0,1731410077.595549,1000.0,500.0,1.0,44.9,0.42358970642089844
5.0,1731410078.3391805,1500.0,500.0,1.0,44.9,0.41712498664855957
0.0,1731410078.9192367,500.0,500.0,0.0,37.3,0.31574416160583496
1.0,1731410079.551668,1000.0,500.0,1.0,44.9,0.3944673538208008
2.0,1731410080.1723616,1500.0,500.0,0.0,37.3,0.14690804481506348
3.0,1731410080.7857208,500.0,500.0,0.0,37.3,0.35239171981811523
4.0,1731410081.5900064,1000.0,500.0,1.0,44.9,0.42532992362976074
5.0,1731410082.6599395,1500.0,500.0,1.0,44.9,0.4306643009185791
0.0,1731410083.7525969,500.0,500.0,0.0,37.3,0.2952578067779541
1.0,1731410084.6553795,1000.0,500.0,1.0,44.9,0.39382266998291016
2.0,1731410085.3326354,1500.0,500.0,0.0,37.3,0.1452043056488037
3.0,1731410086.215407,500.0,500.0,0.0,37.3,0.3242504596710205
4.0,1731410087.251396,1000.0,500.0,1.0,44.9,0.4478640556335449
5.0,1731410088.129302,1500.0,500.0,1.0,44.9,0.4098999500274658
0.0,1731410088.7583654,500.0,500.0,0.0,37.3,0.324202299118042
1.0,1731410089.5010204,1000.0,500.0,1.0,44.9,0.3931763172149658
2.0,1731410089.9039438,1500.0,500.0,0.0,37.3,0.1514723300933838
3.0,1731410090.6003458,500.0,500.0,0.0,37.3,0.35538172721862793
4.0,1731410091.5598242,1000.0,500.0,1.0,44.9,0.4382765293121338
5.0,1731410092.232026,1500.0,500.0,1.0,44.9,0.40929484367370605
0.0,1731410093.26669,500.0,500.0,0.0,37.3,0.3331794738769531
1.0,1731410094.3229384,1000.0,500.0,1.0,44.9,0.40298938751220703
2.0,1731410094.9327204,1500.0,500.0,0.0,37.3,0.16501903533935547
3.0,1731410096.0464575,500.0,500.0,0.0,37.3,0.32884669303894043
4.0,1731410097.033975,1000.0,500.0,1.0,44.9,0.42819905281066895
5.0,1731410097.9720855,1500.0,500.0,1.0,44.9,0.4137296676635742
0.0,1731410098.6229885,500.0,500.0,0.0,37.3,0.34514713287353516
1.0,1731410099.215979,1000.0,500.0,1.0,44.9,0.39163827896118164
2.0,1731410099.736924,1500.0,500.0,0.0,37.3,0.14603209495544434
3.0,1731410100.3419175,500.0,500.0,0.0,37.3,0.37654972076416016
