time,cpu_request,cpu_usage,memory_request,memory_usage,model,model_acc,processing_delay(ms)
1721418177.93382,1500m,331m,1000Mi,282Mi,nano,37.3,200.552225112915
1721418180.97501,1500m,331m,1000Mi,282Mi,nano,37.3,197.483777999878
1721418184.01673,1500m,331m,1000Mi,282Mi,nano,37.3,203.645944595337
1721418187.05954,1500m,331m,1000Mi,282Mi,nano,37.3,189.815282821655
1721418190.18431,1500m,331m,1000Mi,282Mi,nano,37.3,223.669290542603
1721418193.22964,1500m,331m,1000Mi,282Mi,nano,37.3,200.404405593872
1721418196.50927,1500m,417m,1000Mi,272Mi,nano,37.3,203.135013580322
1721418199.5462,1500m,417m,1000Mi,272Mi,nano,37.3,204.888820648193
1721418202.59678,1500m,417m,1000Mi,272Mi,nano,37.3,208.225011825562
1721418205.64491,1500m,417m,1000Mi,272Mi,nano,37.3,208.844423294067
1721418208.68367,1500m,417m,1000Mi,272Mi,nano,37.3,215.374231338501
1721418211.74048,1500m,417m,1000Mi,272Mi,nano,37.3,199.324369430542
1721418214.78689,1500m,417m,1000Mi,272Mi,nano,37.3,199.533462524414
1721418217.82301,1500m,417m,1000Mi,272Mi,nano,37.3,206.189393997192
1721418220.86069,1500m,417m,1000Mi,272Mi,nano,37.3,212.799787521362
1721418223.90071,1500m,417m,1000Mi,272Mi,nano,37.3,200.905323028564
1721418226.95017,1500m,427m,1000Mi,278Mi,nano,37.3,202.929496765137
1721418229.99036,1500m,427m,1000Mi,278Mi,nano,37.3,211.150646209717
1721418233.03507,1500m,427m,1000Mi,278Mi,nano,37.3,208.859443664551
1721418236.20584,1500m,427m,1000Mi,278Mi,nano,37.3,204.040050506592
1721418239.25357,1500m,427m,1000Mi,278Mi,nano,37.3,198.707580566406
1721418242.30673,1500m,427m,1000Mi,278Mi,nano,37.3,190.577507019043
1721418245.39695,1500m,427m,1000Mi,278Mi,nano,37.3,202.348947525024
1721418248.43867,1500m,427m,1000Mi,278Mi,nano,37.3,204.078912734985
1721418251.60387,1500m,427m,1000Mi,278Mi,nano,37.3,202.84366607666
1721418254.64203,1500m,299m,1000Mi,285Mi,nano,37.3,198.935985565186
1721418257.92091,1500m,299m,1000Mi,285Mi,nano,37.3,204.275608062744
1721418260.96745,1500m,299m,1000Mi,285Mi,nano,37.3,207.154035568237
1721418264.01339,1500m,299m,1000Mi,285Mi,nano,37.3,208.890914916992
1721418267.31761,1500m,299m,1000Mi,285Mi,nano,37.3,206.45546913147
1721418270.35713,1500m,299m,1000Mi,285Mi,nano,37.3,214.101076126099
1721418273.39944,1500m,299m,1000Mi,285Mi,nano,37.3,200.861930847168
1721418276.45105,1500m,299m,1000Mi,285Mi,nano,37.3,212.173223495483
