time,cpu_request,cpu_usage,memory_request,memory_usage,model
1721324817.6032553,500m,458m,1000Mi,436Mi,medium
1721324820.6527934,500m,458m,1000Mi,436Mi,medium
1721324823.8044164,500m,458m,1000Mi,436Mi,medium
1721324826.8495789,500m,458m,1000Mi,436Mi,medium
1721324829.9389772,500m,458m,1000Mi,436Mi,medium
1721324833.0424974,500m,459m,1000Mi,436Mi,medium
1721324836.0812914,500m,459m,1000Mi,436Mi,medium
1721324839.1641052,500m,459m,1000Mi,436Mi,medium
1721324842.2089908,500m,459m,1000Mi,436Mi,medium
1721324845.2558503,500m,459m,1000Mi,436Mi,medium
1721324848.2938483,500m,459m,1000Mi,436Mi,medium
1721324851.3285818,500m,459m,1000Mi,436Mi,medium
1721324854.524814,500m,459m,1000Mi,436Mi,medium
1721324857.5752492,500m,459m,1000Mi,436Mi,medium
1721324860.6194143,500m,459m,1000Mi,436Mi,medium
1721324863.7057788,500m,460m,1000Mi,437Mi,medium
1721324866.7512136,500m,460m,1000Mi,437Mi,medium
1721324869.8073082,500m,460m,1000Mi,437Mi,medium
1721324872.8511848,500m,460m,1000Mi,437Mi,medium
1721324875.8928165,500m,460m,1000Mi,437Mi,medium
1721324878.935798,500m,460m,1000Mi,437Mi,medium
1721324881.9879525,500m,460m,1000Mi,437Mi,medium
1721324885.1068995,500m,460m,1000Mi,437Mi,medium
1721324888.152836,500m,460m,1000Mi,437Mi,medium
1721324891.199369,500m,456m,1000Mi,436Mi,medium
1721324894.3040707,500m,456m,1000Mi,436Mi,medium
1721324897.3394148,500m,456m,1000Mi,436Mi,medium
1721324900.384872,500m,456m,1000Mi,436Mi,medium
1721324903.4307182,500m,456m,1000Mi,436Mi,medium
1721324906.4828148,500m,456m,1000Mi,436Mi,medium
1721324909.5279496,500m,456m,1000Mi,436Mi,medium
1721324912.570416,500m,456m,1000Mi,436Mi,medium
1721324915.6201253,500m,456m,1000Mi,436Mi,medium
1721324918.6707532,500m,456m,1000Mi,436Mi,medium
1721324921.7267714,500m,460m,1000Mi,440Mi,medium
1721324924.7702186,500m,460m,1000Mi,440Mi,medium
1721324927.9029202,500m,460m,1000Mi,440Mi,medium
1721324930.9549987,500m,460m,1000Mi,440Mi,medium
1721324933.9922345,500m,460m,1000Mi,440Mi,medium
1721324937.040248,500m,460m,1000Mi,440Mi,medium
1721324940.0830393,500m,460m,1000Mi,440Mi,medium
1721324943.1437373,500m,460m,1000Mi,440Mi,medium
1721324946.1859417,500m,460m,1000Mi,440Mi,medium
1721324949.227771,500m,460m,1000Mi,440Mi,medium
1721324952.280601,500m,455m,1000Mi,436Mi,medium
1721324955.3772163,500m,455m,1000Mi,436Mi,medium
1721324958.4239767,500m,455m,1000Mi,436Mi,medium
1721324961.4676752,500m,455m,1000Mi,436Mi,medium
1721324964.5064135,500m,455m,1000Mi,436Mi,medium
1721324967.5461755,500m,455m,1000Mi,436Mi,medium
1721324970.5870225,500m,455m,1000Mi,436Mi,medium
1721324973.6351182,500m,455m,1000Mi,436Mi,medium
1721324976.679484,500m,455m,1000Mi,436Mi,medium
1721324980.0639393,500m,455m,1000Mi,436Mi,medium
1721324983.2834094,500m,460m,1000Mi,436Mi,medium
1721324986.5333424,500m,460m,1000Mi,436Mi,medium
1721324989.6405125,500m,460m,1000Mi,436Mi,medium
1721324992.6870675,500m,460m,1000Mi,436Mi,medium
1721324995.7361064,500m,460m,1000Mi,436Mi,medium
1721324998.7791567,500m,460m,1000Mi,436Mi,medium
1721325001.8261623,500m,460m,1000Mi,436Mi,medium
1721325004.9288578,500m,460m,1000Mi,436Mi,medium
1721325007.9712121,500m,460m,1000Mi,436Mi,medium
1721325011.0155733,500m,463m,1000Mi,436Mi,medium
1721325014.0671978,500m,463m,1000Mi,436Mi,medium
1721325017.1205668,500m,463m,1000Mi,436Mi,medium
1721325020.1665902,500m,463m,1000Mi,436Mi,medium
